id,title,image,alt,author
1,Quiche mediterráneo profundo,zamena-remnya-grm.jpg,Un delicioso quiche mediterráneo de capas profundas con guarnición de albahaca.,AZR
2,Bizcochos veganos de chocolate y nueces,zamena-remnya-grm.jpg,"Una pila de brownies de chocolate y nuez, rociados con migas de nuez y nuez triturada, recién sacados del horno",AZR
3,Pasta vegetariana al horno súper fácil,zamena-remnya-grm.jpg,Plato de pasta con salchichas vegetarianas y cubierto con queso mozzarella y albahaca,AZR
4,Sopa de berro,zamena-remnya-grm.jpg,Sopa de berros con una ramita de cilantro como guarnición en un tazón blanco con borde verde.,AZR
5,Pastel Victoria,zamena-remnya-grm.jpg,"Una esponja Victoria clásica, sin cortar, con un relleno profundo de crema de mantequilla y mermelada",AZR
6,Pizza sin gluten,zamena-remnya-grm.jpg,"Aceitunas, albahaca y mozzarella cubren una masa de pizza sin gluten con salsa de tomate.",AZR
7,Curry verde tailandés,zamena-remnya-grm.jpg,"Un tazón tradicional de curry verde tailandés aromático y cremoso, con trozos de pollo y verduras.",AZR
9,Salsa de chile ardiente,zamena-remnya-grm.jpg,"Una variedad iridiscente de chiles, cebollas y ajo, que suda lentamente a fuego lento",AZR
10,Prueba y cultiva tus propias hierbas,zamena-remnya-grm.jpg,"Hierbas frescas cortadas incluyendo menta, perejil, tomillo y eneldo.",Holly Foat
8,Crema catalana,zamena-remnya-grm.jpg,"Postre típico catalán hecho de crema y yemas de huevo, cubierto con una capa tradicional de azúcar caramelizado para proporcionar un contraste crujiente.",AZR
11,Delicioso chocolate sin lactosa,zamena-remnya-grm.jpg,Deliciosa tableta de chocolate con leche sin lactosa partido en onzas.,AZR
12,El verdadero negocio para comprar en el supermercado,zamena-remnya-grm.jpg,Verduras de hoja verde presentadas en la estantería del supermercado.,Megan Collins Quinlan
13,Guía AZR de nuestras setas preferidas,zamena-remnya-grm.jpg,Una deliciosa selección de variedades de setas distribuidas en un sencillo plato de madera.,AZR
14,Un aplauso para las zanahorias,zamena-remnya-grm.jpg,"Zanahorias moradas, naranjas, amarillas y blancas.",AZR
15,Percances al hornear - nuestros consejos para solucionar los problemas,zamena-remnya-grm.jpg,Un delicioso brownie de chocolate,AZR
16,Salta los espíritus con deliciosos cócteles sin alcohol,zamena-remnya-grm.jpg,"Mocktail de mojito fresco con guarnición de hojas de menta, hielo y lima en rodajas",Megan Collins Quinlan
17,Dale a tu avena el cambio de imagen definitivo,zamena-remnya-grm.jpg,"Avena con una mezcla vibrante de bayas, nueces y semillas",AZR
18,Pasta vegetariana al horno con una rica salsa de tomate cubierta de queso que hará que se te haga la boca agua.,zamena-remnya-grm.jpg,Pasta vegetariana al horno con una rica salsa de tomate cubierta de queso que hará que se te haga la boca agua.,AZR
19,Paquete de 3 ediciones de la revista de comida AZR,zamena-remnya-grm.jpg,Paquete de 3 ediciones de la revista de comida AZR,AZR
20,(Hero) Bizcochos veganos de chocolate y nueces,zamena-remnya-grm.jpg,"Una pila de brownies de chocolate y nuez, rociados con migas de nuez y nuez triturada, recién sacados del horno",AZR
